employee_id,age,experience_years,department,education_level,work_mode,job_level,salary,training_hours,projects_completed,average_monthly_hours,on_time_delivery_rate,absenteeism_days,satisfaction_score,manager_feedback_score,peer_feedback_score,overtime_hours,promotions_last_5_years,performance_score,performance_band
EMP1000,25,0,Sales,Master,Onsite,1,288838,34,4,181,0.72,0,4.5,8.3,5.6,19,2,49.7,Low
EMP1001,49,26,Sales,MBA,Onsite,6,1808930,34,3,147,0.71,6,8.1,7.2,6.5,15,0,40.9,Low
EMP1002,45,18,Marketing,MBA,Hybrid,5,1377543,47,6,159,0.76,4,8.5,4.0,6.3,3,1,51.4,Medium
EMP1003,37,11,Marketing,MBA,Onsite,3,919552,58,7,169,0.71,8,6.5,5.9,7.9,0,2,41.9,Low
EMP1004,37,12,IT,MBA,Remote,4,1005842,41,3,148,0.96,5,5.6,6.1,5.0,10,1,41.5,Low
EMP1005,52,25,IT,Bachelor,Onsite,6,1719978,65,5,134,0.82,4,3.1,5.8,9.0,20,0,44.0,Low
EMP1006,25,1,Sales,Master,Onsite,1,355249,48,4,167,0.78,3,8.1,7.2,7.8,16,0,53.6,Medium
EMP1007,47,22,Finance,Bachelor,Onsite,6,1630353,31,6,180,0.67,4,10.0,7.2,9.5,14,2,80.0,High
EMP1008,29,7,IT,Bachelor,Onsite,2,760357,47,8,181,0.87,5,9.7,4.4,6.9,12,1,60.1,Medium
EMP1009,25,0,Finance,Diploma,Onsite,1,334653,61,3,186,0.71,2,6.5,8.1,6.2,14,0,49.2,Low
EMP1010,40,16,Marketing,Master,Hybrid,5,1333265,65,4,142,0.7,5,5.1,6.9,7.9,4,2,60.4,Medium
EMP1011,57,31,Marketing,Diploma,Onsite,6,2027843,53,6,171,0.87,0,8.1,7.4,8.4,18,1,80.2,High
EMP1012,48,25,Sales,Bachelor,Hybrid,6,1788948,35,2,165,0.83,4,6.6,8.0,6.0,19,1,53.2,Medium
EMP1013,49,23,Finance,Master,Remote,6,1723050,32,2,168,0.48,4,7.6,5.7,4.2,9,1,33.5,Low
EMP1014,47,27,IT,Master,Hybrid,6,1920809,44,7,166,0.76,3,7.3,8.8,4.4,15,0,76.2,High
EMP1015,50,30,Sales,Bachelor,Hybrid,6,2015305,60,5,158,0.8,4,6.9,6.7,7.4,0,1,81.1,High
